country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,total_tests_per_million,total_cases_per_million,total_deaths_per_million,population
Nigeria,6175,0,191,1644,4340,7,0,35345,0,30,0.9,205486161
Moldova,6138,0,219,2508,3411,251,2,20447,0,1521,54,4035024
Ghana,5918,183,31,1754,4133,5,2,180567,0,191,1,30991423
Oman,5671,292,27,1574,4070,31,2,61000,0,1114,5,5089968
Armenia,5041,218,64,2164,2813,10,3,43041,0,1702,22,2962604
Bolivia,4263,175,174,503,3586,3,5,14803,0,366,15,11653648
Luxembourg,3947,0,107,3715,125,8,0,62260,0,6318,171,624724
Hungary,3556,21,467,1412,1677,46,5,138697,0,368,48,9663123
Iraq,3554,0,127,2310,1117,0,0,149701,0,89,3,40108260
Cameroon,3529,0,140,1567,1822,28,0,0,0,133,5,26461313
Azerbaijan,3518,131,41,2198,1279,37,1,240220,0,347,4,10128288
Thailand,3033,2,56,2857,120,61,0,286008,0,43,0.8,69779718
Greece,2836,0,165,1374,1297,24,0,131684,0,272,16,10428746
Uzbekistan,2825,34,13,2338,474,6,0,460000,0,85,0.4,33409960
Honduras,2798,152,146,340,2312,14,4,10775,0,283,15,9885245
Guinea,2796,0,16,1263,1517,18,0,10304,0,214,1,13086759
Senegal,2617,73,30,1133,1454,6,4,24599,0,157,2,16687100
Sudan,2591,0,105,247,2239,0,0,0,0,59,2,43719159
Bosnia and Herzegovina,2321,17,134,1522,665,4,1,53988,0,707,41,3283087
